year,sitename,ID_CODE,country,Occupancy_Strix_uralensis_Slovenia,occupancy_other_occupant,other_occupant_notes,occupied,eggnumber,eggshatched,eggs_not_hatched,largeyoung,fledgedyoung,young_not_fledged,noise_mean,Rangeland_500,Trees_500,Built_up_500,D_nearest_anyroad,D_nearest_major,D_nearest_minor,buildings_prop,LP_mean,long,lat,,Legend:
2015,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,1,2,0,2,0,unknown,#VALUE!,85.11182383,0.001,0.758,0,1389.567399,1851.649829,1389.567399,0.502604612,0.25,24.17864,54.868396,,Rangeland_500: percentage of open land environment within owl average home range size
2016,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.11182383,0.001,0.758,0,1389.567399,1851.649829,1389.567399,0.502604612,0,24.17864,54.868396,,Trees_500: percentage of wooded environment within owl average home range size
2017,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.11182383,0.001,0.758,0,1389.567399,1851.649829,1389.567399,0.502604612,0.166666667,24.17864,54.868396,,Built_up_500: percentage of urban environment within owl average home range size
2018,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.11182383,0,0.76,0,1389.567399,1851.649829,1389.567399,0.502604612,0.083333333,24.17864,54.868396,,LP_mean: mean value of light pollution within owl average home range size
2019,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.11182383,0,0.759,0,1389.567399,1851.649829,1389.567399,0.502604612,0.333333333,24.17864,54.868396,,
2020,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,1,4,4,1,3,unknown,#VALUE!,85.11182383,0,0.76,0,1389.567399,1851.649829,1389.567399,0.502604612,0,24.17864,54.868396,,
2021,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.11182383,0,0.759,0,1389.567399,1851.649829,1389.567399,0.502604612,0.166666667,24.17864,54.868396,,
2022,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.11182383,0,0.759,0,1389.567399,1851.649829,1389.567399,0.502604612,0.516666671,24.17864,54.868396,,
2023,Gastiloniu_miskas_369_kv_D,LTU111,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.11182383,0,0.762,0,1389.567399,1851.649829,1389.567399,0.502604612,0.533333341,24.17864,54.868396,,
2011,Gastiloniu_miskas_369_kv_B,LTU109,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.08163211,0.001,0.816,0,1319.768069,1860.748347,1319.768069,1.0676878,0.428571429,24.180305,54.867864,,
2012,Gastiloniu_miskas_369_kv_B,LTU109,Lithuania,,,,1,6,6,0,6,unknown,#VALUE!,85.08163211,0.001,0.816,0,1319.768069,1860.748347,1319.768069,1.0676878,0.428571429,24.180305,54.867864,,
2013,Gastiloniu_miskas_369_kv_B,LTU109,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.08163211,0.001,0.816,0,1319.768069,1860.748347,1319.768069,1.0676878,0.142857143,24.180305,54.867864,,
2014,Gastiloniu_miskas_369_kv_B,LTU109,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.08163211,0.001,0.816,0,1319.768069,1860.748347,1319.768069,1.0676878,0.5,24.180305,54.867864,,
2015,Gastiloniu_miskas_369_kv_B,LTU109,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.08163211,0.001,0.816,0,1319.768069,1860.748347,1319.768069,1.0676878,0.285714286,24.180305,54.867864,,
2016,Gastiloniu_miskas_369_kv_B,LTU109,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,85.08163211,0.001,0.816,0,1319.768069,1860.748347,1319.768069,1.0676878,0.071428571,24.180305,54.867864,,
2013,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.95534229,0,0.769,0,1399.65978,1761.18263,1399.65978,0.370095809,0.083333333,24.177057,54.869711,,
2014,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,1,4,4,0,4,unknown,#VALUE!,84.95534229,0,0.769,0,1399.65978,1761.18263,1399.65978,0.370095809,0.333333333,24.177057,54.869711,,
2015,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.95534229,0,0.769,0,1399.65978,1761.18263,1399.65978,0.370095809,0.416666667,24.177057,54.869711,,
2016,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.95534229,0,0.769,0,1399.65978,1761.18263,1399.65978,0.370095809,0.083333333,24.177057,54.869711,,
2017,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,1,3,3,0,3,unknown,#VALUE!,84.95534229,0,0.769,0,1399.65978,1761.18263,1399.65978,0.370095809,0.166666667,24.177057,54.869711,,
2018,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.95534229,0,0.771,0,1399.65978,1761.18263,1399.65978,0.370095809,0.166666667,24.177057,54.869711,,
2019,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.95534229,0,0.77,0,1399.65978,1761.18263,1399.65978,0.370095809,0.416666667,24.177057,54.869711,,
2020,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.95534229,0,0.771,0,1399.65978,1761.18263,1399.65978,0.370095809,0,24.177057,54.869711,,
2021,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.95534229,0,0.77,0,1399.65978,1761.18263,1399.65978,0.370095809,0,24.177057,54.869711,,
2022,Gastiloniu_miskas_369_kv_C,LTU110,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.95534229,0,0.769,0,1399.65978,1761.18263,1399.65978,0.370095809,0.333333333,24.177057,54.869711,,
2013,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.81329231,0,0.656,0,275.5790715,275.5790715,763.8684336,0.365028853,0.516666681,24.186834,54.881807,,
2014,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.81329231,0,0.656,0,275.5790715,275.5790715,763.8684336,0.365028853,0.933333327,24.186834,54.881807,,
2015,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.81329231,0,0.656,0,275.5790715,275.5790715,763.8684336,0.365028853,1.766666651,24.186834,54.881807,,
2016,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.81329231,0,0.656,0,275.5790715,275.5790715,763.8684336,0.365028853,1.583333333,24.186834,54.881807,,
2017,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,1,1,0,1,0,unknown,#VALUE!,84.81329231,0,0.656,0,275.5790715,275.5790715,763.8684336,0.365028853,4.200000048,24.186834,54.881807,,
2018,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.81329231,0,0.672,0,275.5790715,275.5790715,763.8684336,0.365028853,4.133333306,24.186834,54.881807,,
2019,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.81329231,0.003,0.651,0.003,275.5790715,275.5790715,763.8684336,0.365028853,6.116666734,24.186834,54.881807,,
2020,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.81329231,0,0.68,0.003,275.5790715,275.5790715,763.8684336,0.365028853,3.349999974,24.186834,54.881807,,
2021,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,1,2,2,0,2,unknown,#VALUE!,84.81329231,0.001,0.685,0.001,275.5790715,275.5790715,763.8684336,0.365028853,1.600000034,24.186834,54.881807,,
2022,Gastiloniu_miskas_366_kv_C,LTU104,Lithuania,,,,0,0,0,0,0,unknown,#VALUE!,84.81329231,0,0.673,0.001,275.5790715,275.5790715,763.8684336,0.365028853,1.850000024,24.186834,54.881807,,
